"PlantName (S)","SensorTime (N)","SensorValue (N)"
"Adam","1501142311","451"
"Adam","1501140511","450"
"Adam","1501138710","449"
"Adam","1501136910","449"
"Adam","1501135109","448"
"Adam","1501133309","447"
"Adam","1501131508","446"
"Adam","1501129708","446"
"Adam","1501127908","446"
"Adam","1501126107","446"
"Adam","1501124307","446"
"Adam","1501122506","445"
"Adam","1501120705","445"
"Adam","1501118905","445"
"Adam","1501117104","444"
"Adam","1501115304","444"
"Adam","1501113503","444"
"Adam","1501111703","444"
"Adam","1501109903","444"
"Adam","1501108102","443"
"Adam","1501106302","443"
"Adam","1501104502","443"
"Adam","1501102701","443"
"Adam","1501100901","443"
"Adam","1501099100","443"
"Adam","1501097300","442"
"Adam","1501095499","442"
"Adam","1501093699","442"
"Adam","1501091899","442"
"Adam","1501090098","441"
"Adam","1501088298","441"
"Adam","1501086497","441"
"Adam","1501084697","440"
"Adam","1501082896","439"
"Adam","1501081096","439"
"Adam","1501079295","439"
"Adam","1501077495","438"
"Adam","1501075694","438"
"Adam","1501073894","437"
"Adam","1501072094","436"
"Adam","1501070293","436"
"Adam","1501068493","435"
"Adam","1501066692","434"
"Adam","1501064892","434"
"Adam","1501063091","434"
"Adam","1501061291","433"
"Adam","1501059490","432"
"Adam","1501057690","432"
"Adam","1501055889","431"
"Adam","1501054089","431"
"Adam","1501052288","430"
"Adam","1501050488","429"
"Adam","1501048688","429"
"Adam","1501046887","428"
"Adam","1501045087","427"
"Adam","1501043286","427"
"Adam","1501041486","427"
"Adam","1501039685","427"
"Adam","1501037885","427"
"Adam","1501036085","426"
"Adam","1501034284","426"
"Adam","1501032484","426"
"Adam","1501030684","426"
"Adam","1501028883","426"
"Adam","1501027083","426"
"Adam","1501025282","426"
"Adam","1501023482","425"
"Adam","1501021682","425"
"Adam","1501019881","425"
"Adam","1501018081","425"
"Adam","1501016280","425"
"Adam","1501014480","424"
"Adam","1501012680","425"
"Adam","1501010879","424"
"Adam","1501009079","424"
"Adam","1501007279","423"
"Adam","1501005478","424"
"Adam","1501003678","423"
"Adam","1501001877","423"
"Adam","1501001856","423"
"Adam","1501001429","422"
